央视频道,#genre#
新疆卫视,http://219.156.28.8:9999/udp/225.1.4.47:1076
新疆兵团卫视,http://219.156.28.8:9999/udp/225.1.4.97:1126
云南卫视,http://219.156.28.8:9999/udp/225.1.4.152:1307
云南卫视,http://219.156.28.8:9999/udp/225.1.4.33:1062
浙江卫视,http://219.156.28.8:9999/udp/225.1.4.84:1113
浙江卫视,http://219.156.28.8:9999/udp/225.1.4.19:1048
港澳台,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
东森新闻,http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=ME5E8863997888639978&ct=19193&tsum=6b0236441f10a7195fb35fe7997db68c
寰宇新闻台,http://www.51romzj.love:666/dll/diyroms/xsj/histar.php?id=global-news
TVBS新闻台,http://50.7.238.114:8278/tvbs_n/playlist.m3u8?tid=MECE3233774032337740&ct=19225&tsum=47a22a993d8e9b29582dfde5631c78b0
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8

省内频道,#genre#
HNTV1河南卫视,http://219.156.28.8:9999/udp/225.1.4.98:1127
HNTV1河南卫视,http://219.156.28.8:9999/udp/225.1.5.42:1352
HNTV2都市频道,http://219.156.28.8:9999/udp/225.1.4.52:1081
HNTV3民生频道,http://219.156.28.8:9999/udp/225.1.4.53:1082
HNTV4法治频道,http://219.156.28.8:9999/udp/225.1.4.54:1083
HNTV5电视剧频道,http://219.156.28.8:9999/udp/225.1.4.55:1084
